"","title","company","location","experience","html","industry","desc"
"2","Senior Data Scientist","Bechtel Corporate","Houston, TX","deep-learning machine-learning python sql algorithm","https://stackoverflow.com/jobs/136498/senior-data-scientist-bechtel-corporate?a=JMbHv6gjayQ&so=i&sec=False&pg=1&offset=-1&total=167&q=data+science","Construction, Civil Engineering, Project Management","Job description
                    
Bechtel Corporation is seeking a Senior Data Scientist for its highly anticipated Data & Analytics Center of Excellence (COE).  The Data & Analytics COE will be housed within the company’s Information Systems & Technology division and will play a vital role in enhancing the user experience and enabling optimal decisions to be made across the organization that will transform and drastically increase our company performance.
If you are passionate about big data analytics and are willing to embrace the challenge of dealing with several petabytes of data on a daily basis, we want to hear from you. We have the technology and the resources to collect, manage and visualize large sets of data. We need you to use our multiple platforms to turn this information into valuable insights and help us to predict the likelihood of safety incidents in our jobsites, analyze productivity trends, better manage construction indirect cost, among many other challenges. 
Job Responsibilities:
Collaborate with a team of other data scientists, data engineers, and business subject matter experts in order to solve complex business problems using machine learning and statistics
Recommend which approaches will be effective in various situations and will be able to implement these approaches independently without guidance
Basic Qualifications:
PhD in Statistics, Computer Science (Machine Learning or data processing focus), or other data rich technical field. 
10+ years of experience in applying machine learning techniques and algorithms, including deep learning. 
7+ years of experience with standard natural language processing techniques
Programming proficiency in a subset of Python, R, Java, and Scala
Significant experience analyzing data with SQL
Applied statistics understanding
Exposure to Amazon Web Services (AWS) and cloud-based systems
Exposure to large-scale data analysis systems, such as Hadoop or MPP databases
6+ years’ experience in writing technical documents and reports, such as research papers
Experience with data visualization tools and methodologies
BONUS: Deep Learning proficiency

                "
"3","Data Scientist","National Security Agency","Fort Meade, MD","machine-learning r unity3d","https://stackoverflow.com/jobs/155241/data-scientist-national-security-agency?a=Q3UeDc2hKuI&so=i&sec=False&pg=1&offset=0&total=167&q=data+science","Cybersecurity, Federal Agencies, Signals Analysis","Job description
                    
Responsibilities





The professionals at the National Security Agency (NSA) have one common goal: to protect our nation. The mission requires a strong offense and a steadfast defense. The offense collects, processes, and disseminates intelligence information derived from foreign signals for intelligence and counterintelligence purposes. The defense prevents adversaries from gaining access to sensitive classified national security information. NSA is the nation's leader in providing foreign signals intelligence while also protecting U.S. government information systems, forging the frontier of communications, and data analysis. We serve the American people by applying technical skills to meaningful work, keeping our friends and families safe for generations to come.  You will make a lasting impact serving your country as a Data Scientist at the National Security Agency, using your curiosity to analyze large data sets to inform decision-making against foreign threats. We are looking for critical thinkers, problem solvers, and motivated individuals who are enthusiastic about data and believe that answers to hard questions lie in the yet-to-be-told story of diverse, complicated data sets. You will employ your mathematical science, computer science, and quantitative analysis skills to ensure solutions to complex data problems and take full advantage of the NSA's software and hardware capabilities in all areas of our enterprise, including analytic capabilities, research, and foreign intelligence operations. Data Scientists are hired into positions directly supporting a technical mission office or the Data Scientist Development Program (DSDP). The NSA/CSS Data Scientist Development Program is a three-year opportunity to build your data science talent, experience the breadth of data science at NSA through six- to nine-month assignments in a variety of diverse organizations, and collaborate with NSA's experts in the field of data science. You will have opportunities to attend technical conferences with experts from industry and academia. You will routinely discuss and share NSA's challenges and successes at weekly technical roundtables. We foster an environment where you will develop your data science skills, allowing you to quickly contribute to NSA's mission. As a member of a technical mission office or the DSDP, Data Scientists tackle challenging real-world problems leveraging big data, high-performance computing, machine learning, and a breadth of other methodologies. As a Data Scientist at NSA, responsibilities may include: - Collecting and combining data from multiple sources- Uncovering and exploring anomalous data (including metadata)- Applying the scientific process to data evaluation, performing statistical inference, and data mining - Developing analytic plans, engineer supporting algorithms, and design and implement solutions which execute analytic plans.- Designing and developing tools and techniques for analysis- Analyzing data using mathematical/statistical methods - Evaluating, documenting, and communicating research processes, analyses, and results to customers, peers, and leadership- Creating interpretable visualizations





Skills





The ideal candidate is someone with a desire for continual learning and strong problem-solving, analytic and interpersonal skills. You might be a great fit for our team if any of the following describe you: - Completed a degree program in the fields of mathematics, statistics, computer science, computational sciences, or a passion for rigorous analysis of data- Tenacity, integrity, persistence, and willingness to learn- Ability to solve complex problems- Use critical thinking and reasoning to make analytic determinations- Works effectively in a collaborative environment- Strong communications skills to both technical and non-technical audiences        - The desire to serve over 300 million fellow Americans and make a difference in world events





Qualifications





Salary Range: $68,586 - $85,464 (Entry Level/Developmental)*The qualifications listed are the minimum acceptable to be considered for the position. Salary offers are based on candidates' education level and years of experience relevant to the position and also take into account information provided by the hiring manager/organization regarding the work level for the position. Entry is with a Bachelor's degree and no experience. An Associate's degree plus 2 years of relevant experience may be considered for individuals with in-depth experience that is clearly related to the position.Degree must be in Mathematics, Applied Mathematics, Statistics, Applied Statistics, Machine Learning, Data Science, Operations Research, or Computer Science. A degree in a related field (e.g., Computer Information Systems, Engineering), a degree in the physical/hard sciences (e.g. physics, chemistry, biology, astronomy), or other science disciplines (i.e., behavioral, social, and life) may be considered if it includes a concentration of coursework (typically 5 or more courses) in advanced mathematics (typically 200 level or higher; such as calculus, differential equations, discrete mathematics) and/or computer science (e.g., algorithms, programming, data structures, data mining, artificial intelligence). College-level Algebra or other math courses intended to meet a basic college level requirement, or upper level math courses designated as elementary or basic do not count.Note: A broader range of degrees will be considered if accompanied by a Certificate in Data Science from an accredited college/university.Relevant experience must be in designing/implementing machine learning, data mining, advanced analytical algorithms, programming, data science, advanced statistical analysis, artificial intelligence, and/or software engineering. Experience in more than one area is strongly preferred.Salary Range:  $79,334 - $105,663 (Full Performance)*The qualifications listed are the minimum acceptable to be considered for the position. Salary offers are based on candidates' education level and years of experience relevant to the position and also take into account information provided by the hiring manager/organization regarding the work level for the position. Entry is with a Bachelor's degree plus 3 years of relevant experience or a Master's degree plus 1 year of relevant experience or a Doctoral degree and no experience. An Associate's degree plus 5 years of relevant experience may be considered for individuals with in-depth experience that is clearly related to the position.Degree must be in Mathematics, Applied Mathematics, Statistics, Applied Statistics, Machine Learning, Data Science, Operations Research, or Computer Science. A degree in a related field (e.g., Computer Information Systems, Engineering), a degree in the physical/hard sciences (e.g. physics, chemistry, biology, astronomy), or other science disciplines (i.e., behavioral, social, and life) may be considered if it includes a concentration of coursework (typically 5 or more courses) in advanced mathematics (typically 200 level or higher; such as calculus, differential equations, discrete mathematics) and/or computer science (e.g., algorithms, programming, data structures, data mining, artificial intelligence). College-level Algebra or other math courses intended to meet a basic college level requirement, or upper level math courses designated as elementary or basic do not count.Note: A broader range of degrees will be considered if accompanied by a Certificate in Data Science from an accredited college/university.Relevant experience must be in two or more of the following: designing/implementing machine learning, data mining, advanced analytical algorithms, programming, data science, advanced statistical analysis, artificial intelligence, or software engineering.





Pay, Benefits, & Work Schedule





On the job training, internal NSA courses, and external training will be made available based on the need and experience of the selectee.                    
                "
"4","Data Scientist","StreamDetroit","Ferndale, MI","machine-learning artificial-intelligence data-science","https://stackoverflow.com/jobs/154094/data-scientist-streamdetroit?a=PG3zqeCCY6I&so=i&sec=False&pg=1&offset=1&total=167&q=data+science","Content Marketing, Digital Marketing, SaaS","Job description
                    
Work alongside with our core product team and a Ph.D. in AI mentor.
We are building the next version (2.0) of our core Managerial Analytics product called Network Relationship Management.  

We are software engineers, statisticians, mathematicians, domain experts and analysts and are looking for someone who can add something new to the team.  
These are the kinds of things that we are working on this month:
Develop and foster services that will use data to create personalized and optimized experiences.
Develop KPIs and measures of success in a cross-platform world.
Support development of data tools, such as dashboards and A/B testing platforms
We work with Python, Node.js, Ruby and AWS along with Neo4J and TensorFlow
If you craft a couple of paragraphs explaining the work you are doing and how you think it can add value, then I (the hiring decision maker) will respond to your application and at least acknowledge you, starting the conversation.  Please point to some URLs to projects, research...anything that you are working on...I'll reciprocate.  You'd be surprised at how many random resumes I get that say literally nothing about the person.  I get it, sometimes it's like throwing a resume into a black hole, but take a few minutes to communicate with me as a person, and I'll return the favor.                    
                "
"5","Data Scientist","Plentyoffish Media ULC","Vancouver, BC, Canada","r machine-learning algorithm statistics","https://stackoverflow.com/jobs/152134/data-scientist-plentyoffish-media-ulc?a=P1iOTBA8pXO&so=i&sec=False&pg=1&offset=2&total=167&q=data+science","Information Technology","Job description
                    
Today, we are looking for a Data Scientist to join our talented team. You will work with our Data Engineering team to validate and mine large datasets, as well as build predictive models and machine learning systems.
You have a strong quantitative background in academia, or industry, and  thrive when working on large projects independently and as a member of a lean, accomplished team.
What will you do?
You have the ability to clean, analyze, and mine data to unearth trends
You also have the technical chops to build a system around this data that improves the POF experience - deploying production code
You can develop data pipelines with automated, machine-learning systems that convert large source datasets into actionable signals
You like deep-diving into unstructured data and building complex models to extract valuable insights into our users and our business
You can perform time series analysis and forecasting for a variety of important business and operational metrics
You make business recommendations (e.g. cost-benefit, trend forecasting, experiment analysis) with effective presentations of quantitative findings to multiple levels of stakeholders
You craft new algorithms and learning systems to detect and combat spam and fraud
You have experience coordinating with business analysts to define analytic events and key performance metrics
You have experience writing complex algorithms and measuring their impact on a user base
You have the ability to see the “big picture” and how your work relates to POF’s entire business - and the ability to prioritize your work accordingly
What does our ideal candidate look like?
M.S., or Ph.D. in Computer Science or related field. Advanced degrees preferred, but not required
Math degree for stats
Industry experience as a Data Scientist / Data Engineer / Machine-Learning Engineer or demonstrated ability to drive value through data science projects
Deep understanding of fundamental statistics: inference, Bayesian methods, likelihood estimation, decision theory, Monte-Carlo methods and sampling theory
Knowledge of experiment design and hypothesis testing
Knowledgeable in data cleaning, data mining and distributed machine learning
Ability to rapidly acquire and adopt new knowledge and techniques
Proficient with standard SQL and relational databases; experience with Apache Spark & HDFS a plus
Familiarity with R or Python and their data science/machine learning packages - Need java
Comfortable working independently on large projects (demonstrated via industry or academic experience) or as part of a diverse team of different skills as necessary

                "
"6","Data Scientist","Buzzfeed","Los Angeles, CA","sql python machine-learning pandas scipy","https://stackoverflow.com/jobs/153762/data-scientist-buzzfeed?a=Pz9znZUyiDS&so=i&sec=False&pg=1&offset=3&total=167&q=data+science","Digital Media, Entertainment, News","Job description
                    
BuzzFeed is looking for extraordinary data scientists to join its New York and Los Angeles offices. We’re seeking passionate professionals who have a proven track record using data in a meaningful way - whether building product or supporting decisions. The right candidate balances technical expertise, domain knowledge and a capacity to be deeply inquisitive.
BuzzFeed’s data science team is diverse, coming from varying backgrounds, experiences, and skill sets. The team uses data-driven methods to power decisions, inform strategy, build robust data products, and identify opportunities for innovation across the company. We are true hybrids - software engineers, statisticians, mathematicians, domain experts and analysts - who specialize in translating questions into methodical approaches, experiments, and products. We think deeply about the limitations of data, and communicate our output coherently.
Responsibilities
Collect, interpret, and disseminate data to allow for rapid product and content experimentation.
Build learning loops in which user experiences generate insights used to drive growth and engagement across different platforms.
Develop and foster services that will use data to create personalized and optimized experiences.
Develop KPIs and measures of success in a cross-platform world.
Support development of data tools, such as dashboards and A/B testing platforms.
Communicate complex ideas in a clear, precise, yet accessible way to product, engineering, and editorial teams.
Requirements
5+ years of industry experience, working on data-related initiatives.
Experience in applying Machine Learning, Predictive Analytics, and Classification techniques towards real product and business problems.
Proficiency with the Python programming language.
Experience with social data or media is a plus.
About BuzzFeed
BuzzFeed is the leading independent digital media and tech company delivering news and entertainment content to a global audience. We have offices in 19 cities around the world and more than 1500 employees including reporters, video producers, data scientists, engineers, brand strategists, and more. We infuse hard work and fun though a culture of experimentation, collaboration, equality and humble confidence. As an employee, you’ll enjoy perks like office events, snacks, career development courses, and no work on your birthday! But most importantly, you’ll work with inspiring colleagues to build tools and create content that helps connect people all over the world.                    
                "
"7","Data Scientist","Grindr","West Hollywood, CA","r sql data python postgresql","https://stackoverflow.com/jobs/151199/data-scientist-grindr?a=OHRsnUhHP7a&so=i&sec=False&pg=1&offset=4&total=167&q=data+science","Big Data, Social Media, Software Development","Job description
                    
Summary
The Data Scientist is a critical thinker who will engage with senior leaders to design well-constructed analyses derived from large datasets. The Data Scientist will work cross-functionally with product managers and engineers to deliver actionable results and should be comfortable working with Agile, cross-functional teams and eager to be a strategic partner in analytics assignments.
Responsibilities
Work with our Product, Engineering, Marketing, and Finance teams to answer complex questions about users, advertisers, and revenue
Test hypotheses, create reports, handle open tickets and contribute to shared backlog using Jira
Collaborate with developers, program managers, and product managers in an open, Agile environment
Geek out on large datasets and generate insights from which business value can be ascertained
Write queries in ANSI and Postgres SQL
Requirements
A passion for problem-solving and comfort with ambiguity
3+ years of experience using quantitative data analysis to solve business problems
Strong understanding of the principles and tools of statistics and machine learning
Strong experience with statistical programming languages (R, Python)
Strong experience building data visualizations, dashboards, and data representations
Experience building real-time data pipelines within high volume data environments
Familiarity with shell scripting and common Unix commands
Solid understanding of mobile data analysis tools and social media metrics
Strong communication skills with the ability to communicate effectively across all levels of the organization
Ability to thrive in a dynamic, fast-paced environment, drive change, and collaborate effectively with a variety of individuals and organizations
Master or Ph.D. degree in Engineering or related quantitative field (e.g. Computer Science, Mathematics, Physics, Engineering, Economics)
Preferred qualifications 
Experience with JVM ecosystem software development
Experience with data product deployment and A/B testing
Experience with modern Apache data stack such as Kafka, Spark, Flink and Beam
Knowledge of Computer Vision or Natural Language Processing
Knowledge of Bayesian and Deep Learning approaches; graphical models
Benefits & Perks 
100% covered medical and dental insurance
Unlimited sick policy
Competitive Salaries 
401(k)
Catered daily lunch
Stocked kitchen
Free on-site parking
Casual dress environment
Grindr is an equal opportunity employer                    
                "
"8","Data Scientist / Engineer","SemanticBits","No office location","python r aws mapreduce","https://stackoverflow.com/jobs/141227/data-scientist-engineer-semanticbits?a=LmvYauuXIas&so=i&sec=False&pg=1&offset=5&total=167&q=data+science","Digital Health","Job description
                    
SemanticBits is looking for a Data Scientist eager to use advanced analytical, machine learning and data transformation techniques as a means to develop practical tools and analyses that can help solve complex business problems; transforming volumes of data into actionable information. In some instances, you will be using languages like R or Python to employ newer techniques like tree ensembles, neural nets, and clustering to solve long-standing questions. In other instances, it will be your responsibility to come up with solutions for problems that have not yet been identified. In order to do so, the Data Scientist will have to be confident that they can solve a wide-range of problems using a variety of techniques—some known, some new, some yet to be created.
Skills & Requirements
Bachelor's degree with quantitative focus in Econometrics, Statistics, Operations Research, Computer Science or related field and a minimum of 5 years of relevant experience
Strong grasp of statistics and data mining techniques
Solid experience with Python, R, AWS cloud computing, XML parsing, MapReduce
Dataset parsing, dataset merging, dataset analysis, dataset synthesis
Controlled vocabularies (UMLS, SNOMED, etc.)
NoSQL databases, particularly ElasticSearch, Node.js a bonus
Statistical analysis expertise, in particular weighted survey dataset analysis
Strong technical communication skills; both written and verbal
Ability to understand and articulate the “big picture” and simplify complex ideas
Strong problem solving and structuring skills
Ability to identify and learn applicable new techniques independently as needed

                "
"9","Lead Data Scientist","Careem","Berlin, Germany","machine-learning statistics fraud-prevention algorithm","https://stackoverflow.com/jobs/148268/lead-data-scientist-careem?a=NIUVWGzkx8Y&so=i&sec=False&pg=1&offset=6&total=167&q=data+science","Software Development / Engineering, Transportation","Job description
                    
Careem is a leading ride sharing app operational in over 80+ cities. With 30% monthly growth, we are one of the fastest growing companies in our region. Our recipe for success has been a team that thrives on challenges and is passionate about solving problems.  After our recent investment of $500m, we are now the 180th unicorn globally and scaling at the speed of lightning
We like to describe Careem as the ""data science paradise"", as we are working on most of the data science problems one can encounter. We also have tremendous data whealth and diversity, from CSV files that can fit in your R consol, to Terrabytes of data.
ABOUT THE ROLE
As a Senior/Lead Data Scientist at Careem, you'll be part of a team that's leading the next wave of disruption at a whole new scale. You will be developing descriptive and predictive models as well as running extensive data analysis on million of customer transactions supported by a cutting edge data platform to unlock the big opportunities that simplify the lives of people through reliable transportation
In the process, you will:
Answer complex analytic questions from big data sets to help Careem shape its products and services in a better way.
Implement strong data pipelines for Machine Learning algorithms that will be used in production
Implement large scale machine learning algorithm.
Exploratory Data Analysis experience.
Design, implement and support ETLs/ELTs to process terabytes of data each week.
Embark on exploratory data analysis projects to achieve better understanding of phenomena as well as to discover untapped areas of growth and optimization.
Help define and track the appropriate key metrics for specific projects.
Design and run randomized controlled experiments, analyze the resulting data and communicate results with other teams,
You will always challenge the status quo and continually investigate new data processing technologies and seek to ensure that we follow the industry best practices. 
The ideal candidate will have a passionate commitment to improving the lives of people, an insane focus on excellence and customer service, and a strong alignment with our core values: being bold, focused, agile and collaborative.                      
                "
"10","Data Analyst - Finance","VerticalScope Inc.","Toronto, ON, Canada","remote toronto","https://stackoverflow.com/jobs/151483/data-analyst-finance-verticalscope-inc?a=ONLzSX9QiBO&so=i&sec=False&pg=1&offset=7&total=167&q=data+science","Digital Media","Job description
                    
We have lots of data organised in different databases on different platforms and in different formats. We need someone that is super interested in financial data and can build out time series models of how our expenditure and revenue will evolve. If you’re an organised data guru that can think outside of a box, join our data team.
Location:
Anywhere / remote
We prefer that you are between UTC-3 and UTC-8
If you prefer working in an office: Toronto or Grand Cayman are the options
Responsibilities:
You’ll be working closely with Finance and executives to answer key financial questions. The data you own can be trusted and you’re diligent at pointing out any caveats or issues in the data.
You’ll write Python scripts that pull data from APIs, websites via scraping, Google buckets and dumps it into our Google BigQuery data warehouse.
You’ll work closely with different stakeholders across the organisation to make us more efficient by automating reports and dashboards.
You’re flexible and interested in different kinds of problems. While your main area of expertise will be Finance, you might enjoy working on an impact study for Marketing
You can extract valuable insights from large pools of data, as well as to articulate these insights to other staff members and executives in a non-technical way
You’ll will build some predictive models and answer questions around: How do our acquisitions perform? Which acquisition will be the next superstar? What should our budget be?
Must-haves:
Uber analytical
SQL experience, even better: BigQuery. We’re not a fan of MS SQL :)
Python scripting experience well beyond print(‘Hello World’), pandas
Experience with APIs & web scraping (selenium!)
Stats background, t-tests, regressions should be no brainers and random forests fun to walk through
Some dashboarding experience, such as Google Data Studio
You’re creative, both in making visualisations of complex questions and in solving problems
Strong communicator
Super organised
A couple of years of experience with data wrangling and financial data, particularly on the cost side
Nice-to-haves:
MS Great Plains / Dynamics experience
Knowledge of Aria, Zuora or other subscription billing platforms
Experience with payment gateway sources such as Braintree or Vantiv
Remote working experience
Who we are:
With over 1,300 websites attracting more than 100 million monthly unique visitors, Toronto-based VerticalScope is one of the largest and fastest growing online publishers in North America. Our unique combination of wholly-owned community (forum) websites and professional content sites offers shoppers critical information that they can’t get from OEM sites or other interest-based portals, attracting a unique audience and blue chip advertisers seeking to reach them. These sites are organized into 9 different verticals including automotive, outdoors, powersports, pets, home, consumer technology and health & wellness, to name a few.

How to apply:
Send a brief email to data@verticalscope.com explaining why you’d like to work with us and why we should hire you. Make sure the subject line is “Data Analyst and Engineer - Finance.”                    
                "
"11","SQL Data Analyst","Detroit Trading Company","Birmingham, MI","sql excel pivot-table r","https://stackoverflow.com/jobs/151026/sql-data-analyst-detroit-trading-company?a=OEgqS7a3iiQ&so=i&sec=False&pg=1&offset=8&total=167&q=data+science","Automotive","Job description
                    
Data Analyst/Data Scientist – SQL & Statistical ModellingDetroit Trading Company is a rapidly growing digital marketing company based in Birmingham, MI.  Our highly-available system processes millions of transactions each day.  We utilize agile methodologies in our development and we have an unbeatable work environment.We are looking for a highly intelligent and analytic individual that loves data and data analysis.  As a member of the Detroit Trading Data Analytics team, you’ll use advanced analytical, statistical modelling and data transformation techniques to develop valuable insights and analyses that solve complex business problems.
Skills we are looking for:
Proficient with MS SQL. Comfortable writing complex queries and manipulating data.
Familiarity and experience with the R programming language and software environment, or an equivalent statistical scripting language.
Familiarity and experience with predictive modelling.
Proficient working with data in Microsoft Excel, pivot tables, charting, etc.
Strong communication skills, both verbal and written
Required Education and Experience:
Bachelors or advanced degree in Math, Computer Science, Statistics, Engineering, or related field.
At least 2-3 years of experience working with the technologies listed above solving business problems.
GREAT BENEFITS! 
100% Employer Paid Medical, Dental, Vision, Life. 
Simple IRA 
HSA with opportunity to earn up to $2,600 in employer contributions 
Employer Provided Gym Membership.
Beautiful office with the most modern technology.
Excellent advancement opportunities.
 Detroit Trading Company offers 
 A small team (~50) of fun-loving, smart, interesting, hard-working individuals
 Big company stability and benefits – w/o the dysfunction and despair
 Non-garden-variety tech challenges
 A fun place to work!
Visit http://www.detroittrading.com and http://car.show/ to become familiar with what we do. A resume, including links to examples of your most relevant work, and cover letter are requirements that you will use to set yourself apart from the crowd.
Detroit Trading Company was founded in 2004 to connect buyers and sellers of automotive sales leads. Our network of relationships, built on a foundation of trust and integrity, supports many millions of lead sales per year. We constantly strive to increase the efficiency of the automotive leads industry through innovation.
Detroit Trading Company is privately held, well capitalized, and has attracted large, high-quality generators by being among the fastest payers in the industry. We continue to experience positive growth and look forward to what lies ahead. Our relentless commitment to quality, relationship building, and trust has Detroit Trading Company well positioned to play a key role in this industry for the foreseeable future.                    
                "
