"","title","company","location","desc","ind","industry_clean"
"1","Data Science Manager","Sinclair Broadcast Group, Inc.","Cockeysville, MD","
Make your mark in Broadcasting and Digital Media. Sinclair Broadcast Group and Sinclair Digital Solutions are dedicated to making Sinclair a communications powerhouse! We are the largest and most diversified television broadcasting company in the country. Sinclair owns and operates, programs or provides services to more television stations than anyone and has affiliations with all major networks. Sinclair Digital group is focused on bringing the most engaging content to web, mobile and over-the-top broadcasting to audiences all over the country!  Our success is the result of extraordinary employees and an exemplary management team who believe in a vision and are dedicated ensuring a great future for our employees.  Whether you are an industry veteran or a just starting out, you can find it at Sinclair!  We are advancing the world of Broadcasting and we want YOU to join our winning team!  

Sinclair Broadcast Group is currently looking for a Data Science Manager to join our fast-growing team. The ideal candidate will be intricately involved in the design, development and implementation of data-driven solutions using machine learning technologies and advanced statistical methods to address business problems. This position will be expected to perform data analyses, generate and test working hypothesis, prepare and analyze historical data, identify patterns as well as apply machine learning techniques to formulate a solution. We are seeking candidates from the Seattle, Washington or Baltimore, Maryland markets to fill this open position.

Responsibilities include:

Participating in business engagements focused on customer and consumer analytics
Understanding key business issues driving machine learning implementations
Developing specifications and requirements to extract data from current and third-party systems, as well as for interfacing client systems with analytic models
Assisting in research of new machine learning techniques, ideas, and applications; industry research given client situation; summarizes findings
Identifying short list of candidate software, hardware and vendor solutions that could meet requirements
Designing and implementing predictive model development, related algorithms and interfaces to analytics results
Guiding data science projects through from inception and planning to development, implementation and evaluation
Preparing communications and project deliverables 

Qualifications:  

Bachelor’s Degree or equivalent in statistics, applied mathematics, computer science, actuarial science or related field of study. Advanced degree (MA/PhD) in quantitative discipline: Statistics, Applied Mathematics, Operations Research, Computer Science or Engineering preferred.
Experience in machine learning packages and statistical programming languages such as WEKA, Matlab C, R, Python. Extensive knowledge of tools for data mining and statistics (SAS, SPSS)
Experience with Google Analytics and DoubleClick for Publishers preferred
Strong competency in various machine learning techniques (supervised learning, unsupervised learning, reinforcement learning). Strong knowledge of other quantitative disciplines (operations research, decision theory, etc.) preferred. Knowledge of machine to machine learning techniques
Proficient in manipulating and analyzing complex, high-volume, high-dimensionality data from varying sources. Ideally some of this data would come from embedded sensors, for use in applications such as predictive maintenance.
Ability to communicate complex quantitative analysis to peers in a concise and actionable manner
Ability to work independently and manage multiple task assignments while also having the ability to work in a team environment.
Strong oral and written communication skills, including presentation skills (MS Visio, MS PowerPoint)
Strong problem solving and troubleshooting skills with the ability to exercise mature judgment
Willingness to travel

Sinclair Broadcast Group, Inc. is proud to be an Equal Opportunity Employer and Drug Free Workplace!









",0,"Business Services"
"2","Analyst III, Data Science","Health Services Advisory Group, Inc.","Tampa, FL","

Are you passionate about improving the quality of healthcare? 
Are you interested in exploring a rapidly expanding universe of clinical data? 
Are you ready to leverage your talents to make healthcare better for everyone? 
Are you fascinated by the growing field of data science?
Then join the new Data Science & Advanced Analytics team at Health Services Advisory Group (HSAG) that is transforming the delivery of healthcare in the United States!
HSAG has been a pioneer in the field of healthcare quality improvement for over three decades, serving approximately:
25 percent of the nation’s Medicare population
46 percent of the nation’s Medicaid population
20 percent of the nation’s dialysis population
HSAG is nationally recognized as an industry leader in the areas of data analysis, measure development, and patient satisfaction surveys. We are in search of talented individuals that are interested in a career in analytics as an Analyst 3 in HSAG’s Data Science & Advanced Analytics division. Together we can spread positive change to make healthcare better.  
UNIQUE BENEFITS
An Analyst 3 in DSAA also benefits from HSAG’s desire to grow its staff into the future leaders of healthcare quality improvement in the nation. New HSAG analysts are provided formal training in statistics, clinical epidemiology, SAS, healthcare data, and an assortment of healthcare-related topics. 
HSAG offers:
A comfortable work-life balance, including half-day Fridays and flexible work schedules.
Three weeks of paid time off and 13 company-paid holidays where staff leave two hours early prior to each holiday just to get a “jump start” on holiday festivities.
HSAG offers a competitive benefit package which includes, medical, dental, vision, tuition reimbursement, 401(k) and an employee stock ownership plan. 
DESCRIPTION
The Analyst 3 is a lead contributor to cutting edge analytic work that spans the broad spectrum of healthcare data projects at HSAG. Driven by intellectual curiosity and a passion for healthcare quality, the Analyst 3 leads the development and execution of innovative analytic plans that are intended to provide healthcare decision and policy makers with the necessary information to transform healthcare. The Analyst 3 will also lead a wide array of analytic studies and participate in all phases of the research design process. The Analyst 3 will have at his or her fingertips a wide array of data types to facilitate data exploration, including:
survey
case review
medical and prescription drug claims
eligibility
clinical
electronic health record
operational
Details regarding potential project assignments will be discussed with potential candidates during the interview process.  Beyond project assignment duties, the Analyst 3 will serve as a mentor to other analysts within the division and will work closely with the division’s leadership to fulfill HSAG’s analytic vision.
ESSENTIAL COMPETENCIES, DUTIES, AND RESPONSIBILITIES
Serve as a leader within HSAG Data Science & Advanced Analytics division.
Demonstrate expertise in utilizing the primary types of healthcare data and methods for approaching data assessments.
Evaluate a wide array of data types.
Conduct and interpret analyses, develop appropriate statistical models, manipulate complex databases, and track and evaluate patterns of care and outcomes.
Develop analytic methodologies and analysis plans.
Attend and participates in team training meetings, including presenting at these meetings.
Present and communicate project results to nonanalytic staff members and customers. 
Represent HSAG in a professional manner at all times.

",0,"Health Care"
"3","Data Science Intern","Advance Auto Parts","Raleigh, NC","
Major Responsibilities: Advance Auto Parts isn’t just your local auto parts store. We are the leading competitor in the auto parts industry. We are always looking for ways to better our strategies and broaden our horizons; which is why we are excited to take on a whole new team of interns. For this 10 week paid internship we are looking for interns to specialize in the following areas: Communications, Finance, Human Resources, Marketing, Merchandising, Retail Operations, Strategy, and Supply Chain. The week of welcome kicks off by pairing you with a mentor who will guide your experience as you work on a project tackling some of our top business initiatives.This isn’t a job shadow opportunity, this internship is the chance to get involved, contribute and truly experience our workplace. This will be a fun, teamwork atmosphere with the opportunity to build strong peer to peer relationships. The internship will end with the opportunity to present solutions to relevant business problems to some of our top executive staff members. No other company embodies diversity and community engagement like Advance Auto Parts does. But don’t take our work for it, apply and find out for yourself.  Schedule – 40 hours a week, Monday – Friday // May 21 – July 27SummaryAs a Data Science Intern, you will have an opportunity to disrupt a $100B auto parts industry to bring better and faster solutions to customers. You will have the opportunity to help analyze billions of transactions to find patterns that will help improve our company and build data products to extract valuable business insights.  You will be part of an elite data science function to help the organization live its mission of Advancing a World in Motion.General Job ResponsibilitiesCollect, analyze, and interpret information from multiple data sources identifying actionable insights Build predictive models and machine-learning algorithms for second-level analytics.Develop reports and/or presentations leveraging data visualization tools that clearly and concisely communicate analytical findings Analyze customer, transaction, and campaign data to identify trends and patterns in marketing campaign performance and/or customer behavior.Conduct digital channel analysis to understand traffic and revenue drivers, both in-store and on-line.Leverage analytical tools (SQL, SAS, Tableau) and data mining techniques to perform advanced data manipulation and extract insights from large databases.Support ad hoc analytic need as requested.Qualifications Junior or Senior Preferred Majors: Computer Science, Mathematics, Engineering or other relevant disciplines Some experience with a data science programming language (ex: R, SAS, SPSS, and/or Python) Some experience using data visualization tools (ex: Tableau, d3.js)

Qualifications:


We are an Equal Opportunity Employer and do not discriminate against any employee or applicant for employment because of race, color, sex, age national origin, religion, sexual orientation, gender identity, status as a veteran and basis of disability or any other federal, state or local protected class.
",0,"Retail"
"4","Director - Data Science","Grange Insurance","Columbus, OH","
Plan, facilitate, build, and manage advanced analytics from inception to successful completion. Involves the responsibility of supervising employees with various skills working
as a team. 
ESSENTIAL FUNCTIONS:

1. Provide the vision, roadmap, and thought leadership for Grange’s centralized data science team.

2. Manage a team of statisticians to translate corporate strategy into analytic projects that inform and drive business performance.

3. Collaborate with the Data Warehouse, Personal and Commercial Lines, Life, Claims, Sales and Marketing, Customer Experience, Research, Insights and Reporting, and other internal
client teams to support corporate initiatives with analytics. 
4. Design variables for new marts at the customer, household, and agency levels in close partnership with Data Warehouse, Research, and business unit teams.

5. Work with the Data Warehouse, IT, business units, and third-party companies to assess and incorporate demographic, firmographic, geographic, telematic, internet-of-things
(IOT), drone, wearables, sensor, social media, and other data sources for analytic benefit.

6. Create, document, test, deploy, audit, and manage statistical techniques and predictive models.

7. Build profile, segmentation, and impact-analysis automated tools for the Insights team. Perform market, portfolio, and customer/prospect segmentation to optimize strategies
and spend. 
8. Ensure all analytic activities comply with regulatory and company policies. Work with legal, compliance, and risk teams to develop and apply effective risk management controls.

9. Synthesize findings, analysis, and recommendations into senior level presentations that convey insights and recommendations through compelling, persuasive, and efficient
story-telling, while maintaining a balance between key insights and mastery of details.

10. Provide technical and business leadership, mentoring, and training on all applications.

11. Maintain employee files and attendance records.

12. Report project status (including schedule, cost and quality), risks and issues in a timely and accurate manner to all the stakeholders of projects.

13. Responsible for personnel actions of hiring, terminations and initiating promotions.

14. Establish objectives for each employee, monitor employee performance, conduct employee performance evaluations, and recommend salary adjustments.

15. Set priorities based upon company and department guidelines; motivate staff to achieve company, department and personal goals including professional development.

16. Interact and communicate effectively with all business contacts, including group presentations and meeting facilitation.

17. Update project management software to reflect assigned task status and effort.

18. Update the problem management and tracking system to reflect issue status.

19. Update Performance Objectives/Evaluation documents.

20. Assist in the development and control of the departmental budget.

21. Perform other duties as assigned.

There may be functions (essential or marginal) of this position not listed in this description.
Requirements1. Ph.D. in an applied quantitatively- or computationally-oriented field such as statistics, economics, applied mathematics, computer science, or operations research.

2. 8+ years of related work experience in similar or directly related functions, preferably in insurance or financial services.

3. Prior management experience strongly preferred.

4. Expert-level understanding of predictive models, structures, theories, principles and practices, including machine learning, statistics, and text mining techniques.

5. Thorough understanding of structured analysis, multivariate methods, behavioral segmentation, and financial analysis principles. Strong modeling skills including cluster
analysis, latent class, logistic regression, decision trees, and other non-linear algorithms, linear regression techniques (GLM), and forecasting/time series. Practical experience in the construction of designed experiments.

6. Must possess excellent interpersonal and communications skills, excellent problem solving skills, and the self-motivation to improve skills and abilities as generally acquired
through 8+ years of experience. 
7. Direct experience with large data sets, SAS or R, and relational database models such as Oracle, DB2, SQL Server, Teradata, and Netezza. Python is a plus.

8. Experience working with unstructured data in distributed ecosystems like Hadoop.

9. Ability to work independently under minimal supervision with considerable latitude for un-reviewed actions or decisions.

10. Competent to work at the highest technical level of all phases of application and programming activities.

11. Must demonstrate leadership, professionalism and a basic understanding of the insurance business.
",0,"Business Services"
"5","Director of Data Science","National Collegiate Scouting Association","Chicago, IL","
ABOUT NEXT COLLEGE STUDENT ATHLETE (NCSA)
NCSA is the world’s largest and most successful collegiate athletic recruiting network. A wholly-owned subsidiary of Reigning Champs (www.reigningchamps.com), NCSA’s team of more than 600 former collegiate and professional athletes leverages 16 years of exclusive data, proprietary matching algorithms, and personal relationships to connect tens of thousands of college-bound student-athletes to more than 41,000 college coaches nationwide across 31 sports every year. You can learn more about NCSA at www.ncsasports.org.
 
Director of Data Science Job Details
We’re looking for someone to lead our Data Science and Analyst team and take our business analytics capabilities to the next level. We need someone who wants to wade in and find the insights even when they might challenge established business patterns and the status quo.  We’re looking for a hands-on leader and innovator who can apply advanced analytics strategically, meet our ever-growing demand for data-driven insights, and help build a stronger product vision along the way.
 
You understand and can implement data processes from collection to modeling to insights. You’re well versed in leading edge practices and technologies including, artificial intelligence, machine learning and deep learning. Ideally, you’ll be as comfortable diving in and getting your hands dirty as leading a strategic initiative and building the team.  You are a self-motivated, organized go-getter who loves taking problems and developing solutions that drive business outcomes.
 
You’ll be working with a collaborative team of analysts and data scientists as well as product managers, designers, developers and business stakeholders across the entire organization. You’ll need to be able to articulate your decisions and take feedback into the next iteration. Want to work with a great team to make students’ lives better? Great!
 
Responsibilities
Establish and improve data collection, engineering, analysis and modeling practices and processes
Support senior management with integrating data science, analytics into decision making and the portfolio of products and services
Provide internal and external thought leadership in Business Intelligence, Data Analytics and visualization
Architect and deliver an enterprise data platform strategy that results in availability of high quality data that satisfies requirements and priorities to achieve business goals
Define and implement strategies for adopting Artificial Intelligence methods across the organization
Participate in strategy and execution for Global Roadmap projects as appropriate
Attract, mentor, manage, and develop data analyst and data scientist talent
Understand and prioritize the data requirements while managing the expectations of stakeholders
Develop, articulate and communicate solutions appropriate to varied business stakeholder audiences


Requirements
3-5 years of relevant experience in similar role with a proven track record of leveraging analytics and large amounts of data to drive significant business impact
Creation/deployment of models & algorithms to analyze unstructured data
Ability to generate relevant insights using data analytics and visualization solutions
Solid understanding of the principles of data management and business process workflow
Experience managing teams of 5 or more people
Experience prioritizing and leading concurrent projects and initiatives
Top notch written and verbal communication skills
 
Preferred Qualifications
Hands-on experience with Artificial Intelligence methods and technologies
Working knowledge of statistics and stats packages like R or Matlab
A scripting language (Python, Ruby, etc.)
SQL and working knowledge of relational databases
Experience with Amazon RedShift and Apache Spark or similar
Self-starter able to make an impact with little guidance 
Extra Credit: former athlete or familiarity with college athletics
 
 
Benefits
Medical, Dental, & Life Insurance
Pre-Tax Flexible Spending Account
401(k) Match Up to 3%
Parental Leave
Wellness Reimbursement Program
Online Health Assessments
 
National Collegiate Scouting Association LLC is committed to providing equal employment opportunities to all employees and applicants without regard to race, religion, color, sex, national origin, citizenship status, uniform service member status, age, disability, sexual and gender orientation, genetic information or any other protected status in accordance with all applicable federal, state, and local laws.
",0,"Finance"
"6","Data Science Consultant","Health Care Service Corporation","Chicago, IL","
HCSC is committed to diversity in the workplace and to providing equal opportunity and affirmative action to employees and applicants.We are an Equal Opportunity Employment / Affirmative Action employer dedicated to workforce diversity and a drug-free and smoke-free workplace. Drug screening and background investigation are required, as allowed by law. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or protected veteran status.
If you are an individual with a disability or a disabled veteran and need an accommodation or assistance in either using the Careers website or completing the application process, you can email us to [Click Here to Email Your Resumé] to request reasonable accommodations.
Please note that only requests for accommodations in the application process will be returned. All applications, including resumes, must be submitted through HCSC's Career website on-line application process. If you have general questions regarding the status of an existing application, navigate to 'my account' and click on 'View your job submissions'.Job Purpose:
This position is responsible for using advanced mathematical and statistical concepts and theories to analyze and collect data and construct solutions to business problems; performing complex statistical analysis on experimental or business data to validate and quantify trends or patterns identified by business analysts; constructing predictive models, algorithms and probability engines to support data analysis or product functions; verifies model and algorithm effectiveness based on real-world results; and designing experiments and methodologies to generate and collect data for business use. Responsible for aiding tactical decision making by using predictive and prescriptive modeling; and extracting actionable insights by identifying patterns in structured and unstructured data.

Required Job Qualifications:
*Bachelor degree and 5 years of experience in advanced mathematical and statistical concepts OR Master degree with 4 years of experience in advanced mathematical and statistical concepts.
*2 years of experience in programmatic data analysis tools like SAS, R, MATLAB, SPSS etc.
*Proficiency in at least one high level programing languages like Java, Scala, Python, Ruby, C etc.
*Proficiency in data wrangling tools like SQL, Hive etc.
*Experience in data visualization tools like Tableau, QlikView, MicroStrategy etc.
*Experience in big data ecosystems (Hadoop, No-SQL etc.)
*Conceptual and creative problem-solving skills; experience working with considerable ambiguity
*Experience learning new and complex concepts quickly.
*Knowledge with Healthcare Payer industry data.
*Clear and concise interpersonal, verbal and written communication skills.
*PC proficiency with Microsoft applications including Access, Excel, Word and Power Point.

Preferred Job Qualifications:
*Master degree in Mathematics, Statistics, Operations Research, Computer Science.
*PhD.

LI-POST
*CA
*CB*

**Position is located in Chicago, IL
**Relocation assistance not available
**Sponsorship not available ",0,"Business Services"
"7","Data Science Manager","The Judge Group","Tampa, FL","
Qualifications:Bachelor’s degree in Statistics, or related Data Science field.  Masters degree preferred or the equivalent combination of education and experience.
5-8 years of experience in data science and/or advanced analytics strategic analysis, including:
3-5 years managing direct reports
3-5 years of experience using tools for statistical analysis and programming (e.g., SAS, R, Python,) and querying (e.g., SQL/HIVE/SPARK). 
3–5 years of experience utilizing statistical techniques that are commonly employed in advanced analytics, such as logistic regression, multiple linear regression, cluster analysis, principal component analysis, discriminant analysis, and decision trees (e.g., CHAID and CART). 
2-3 years of experience in experimental design & analysis and project management.
Knowledge and Skills:Good familiarity with advanced analytics theory and practice, including the concepts of segmentation and response modeling. 
Ability to successfully communicate with Executives, Mid-Level Manager, Marketing Strategists and Business leaders to identify business problems and opportunities, design and implement the best analytics solution and communicate the results of analytics projects.
Desktop computing skills and experience using one or more: word-processing, spreadsheet and presentation software programs
Strong knowledge of MS Office required.
",0,"Business Services"
"8","Business Engineer, Data Science","CCC Information Services Inc","Chicago, IL","
CCC information Services, Inc. is seeking a Business Engineer to work on the Data Science team to help formulate business use cases, turn data insights into business recommendations, and model the value of an insight. The Data Science team at CCC is currently working on some of the most important, strategic initiatives of the company. The Business Engineer role will be a part of the Data Science team and will contribute to a spectrum of projects with different business stakeholders. We are seeking a candidate who will bolster existing capabilities and suggest new, exciting changes and improvements. Responsibilities & Duties  You will join a skunkworks team to incubate, research and help develop predictive models based on CCC's unique data sets and input from industry experts. At the inception stage, you will observe and understand our customer's processes, then propose innovative ideas to improve and/or disrupt their processes. The research and development stage will involve testing hypotheses, undergoing exploratory analysis, and formulating statistical models (predictive, prescriptive, etc.) that can add business value. At the market introduction stage, you will also help design scalable algorithms that implement the models. You will also interface with product managers and software architects for deployment of the data product.Qualifications * Ph.D. or Master's degree in operations research, applied math, statistics, theoretical computer science, physics, or related field; experience in an analytical role as a data scientist, analyst, quantitative, actuary, etc. * Understanding and hands-on skills in advanced modeling: machine learning algorithms, probability, statistics * Expertise with the Python data science stack (pandas, numpy, scipy, scikit-learn, matplotlib, regex), expertise with R, and SQL/backend systems * 1-2 years of experience working with stakeholders within business analytics or advanced analytics capacity * Strong desire to understand existing business process, not afraid of disrupting old business process and propose new ideas, good at formulating a business question into one or a series of analytics questions * Superior problem-solving mindset * Business consulting experience a plusWhy Choose CCCWe promote a healthy work-life balance and offer generous benefit plans and resources designed with employee satisfaction in mind.What we value is simple - customers, employee commitment, collaboration and clear communication.We hire people who will embrace the company's goals and productively contribute in ways that help us serve the customer, innovate, and stay strong.We make it a priority to keep employees healthy, happy and enriched. * Healthy - Wellness programs and Perkspot/employee discount program * Happy - Recognition programs, a confidential employee assistance program, and flexible work arrangements such as staggered start times * Enriched - Tuition reimbursement, training and learning programs, and leadership development opportunitiesOur corporate headquarters is located in downtown Chicago within the historic Merchandise Mart-a certified LEED (Leadership in Energy and Environmental Design) building.CCC Information Services was ranked #15 in the Top 100 Digital Companies in Chicago in 2016 by Built In Chicago, an online community for digital technology entrepreneurs in Chicago.CCC is a great place to work. Join us! 
",0,"Information Technology"
"9","Data Science Manager","CyberCoders","San Francisco, CA","
This position is open as of 10/8/2017.Data Science Manager - Lead a team of Data Scientists!Based in the heart of SF, we are peer-to-peer consumer marketplace startup that has disrupted the transportation industry. Since 2009, we have been funded over $80mill and we operate in 4,700 cities across the United States, Canada and the UK with over 2.5 million users – and the sky is the limit!Top Reasons to Work with UsWe are looking for amazing data scientists who have a passion for consumer products and want to join an exceptional team that is changing the way people think about travel. We ship code daily, A/B test extensively, and have a primary role in creating the product from inception to implementation. There's much to do, and you'll be responsible for making some real cool stuff happen.Be a member of a small team of talented data scientists and engineers and play a major role in shaping an exciting platform that's changing how people travel.What You Will Be Doing•Lead development efforts of data features (eg. search rank, dynamic pricing, recommendation engines, ...)•Partner closely with data scientists and product managers to develop algorithms and drive key product or modeling decisions•Research the best metrics and experiment design to measure models performance•Present your research and insights to all levels of the company, clearly and conciselyWhat You Need for this Position•MS in Computer Science, Statistics, Math, Engineering, or related disciplines•3+ years of professional experience in data science, machine learning , deep learning or related field•Deep understanding of the latest and greatest Machine Learning techniques•Expert in developing and scaling out machine learning algorithms•Expert level SQL skills and statistical analysis tools like R & Python•Experience with ETL (Extract-Transform-Load) systems •Deep product sense & Self-starter•Experience working in a face paced startup environment is a MUST•You are excited about the idea of working with a small team to get the job done, even if you sometimes need to do things that are outside of your direct job descriptionWhat's In It for You•Competitive salary and meaningful equity•Employer paid medical, dental, and vision insurance•Apple equipment•Four weeks paid time off, 11 paid holidays, generous parental leave•Weekly catered lunch•Stocked kitchen and beverages•Company-sponsored happy hours and team events•Travel credit every monthSo if you are a Data Science Manager, please apply today!Required SkillsMachine Learning, Python, R, ETL, Data ScienceIf you are a good fit for the Data Science Manager - Lead a team of Data Scientists! position, and have a background that includes:Machine Learning, Python, R, ETL, Data Science and you are interested in working the following job types:Information Technology, Engineering, Professional ServicesWithin the following industries:Computer SoftwareOur privacy policy: Your resume and information will be kept completely confidential.Looking forward to receiving your resume through our website and going over the job in more detail with you!CyberCoders, Inc is proud to be an Equal Opportunity Employer All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, protected veteran status, or any other characteristic protected by law.Your Right to Work – In compliance with federal law, all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification document form upon hire.


Machine Learning, Python, R, ETL, Data Science
",0,"Information Technology"
"10","Director, Data Science","Cardinal Health","Brentwood, TN","
The Director, Data Science role at naviHealth will report to the VP, Data Science and will be responsible for the design, analysis, and development of naviHealth's decision support tools using machine learning techniques for prospective analytics and predictive modeling. The colleague will be a key statistics and analytics expert and responsible for developing and implementing innovative approaches and methodologies to develop and support decision support products, and to identify new opportunities for products and services.Primary Responsibilities 
Develop and continually advance naviHealth's decision support tools for clinical workflow, Post-Acute Care management, and related business needs
Employ structured approach to leveraging large data sets to uncover new business insights that will support the evolution of our products and services
Apply demonstrable statistical, machine learning, and business strategy experience to develop and support predictive algorithms and related decision support products
Create examples, prototypes, visualizations or demonstrations to help leadership better understand the work and recommendations
Provide thought leadership, conduct studies, and publish whitepapers and articles in trade and scholarly journals
Collaborate with other business functions such as clinical services, product management, customer implementation to define, prioritize, develop, and implement data science products
Continually monitor and work with stakeholder to gather feedback and identify opportunities for ongoing improvement
Build and manage a Data Science team as determined by business needs and growth opportunities
Establish effective working relationships with all levels of staff and management.
Promote a culture of transparency, communications, and collaboration
Measure and report on performance of Data Science team
Qualifications
Master's degree in Statistics/Computer Science/Software Engineering; PhD preferred
8+ years' demonstrable experience developing solutions using machine learning techniques and applied statistical analysis such as regression, classification, clustering, Naïve Bayes, decision forests
Expert-level experience in data science and visualization toolkits such as R, SAS, Tableau
Demonstrable statistical, mathematical, and business strategy skills
Experience with relational, OLTP, SQL, dimensional and OLAP databases and technologies, business intelligence, data warehousing, and ETL database technologies and solutions
Strong project leadership and management skills required; ability to prioritize, plan, and handle multiple tasks/demands simultaneously
Strong written, verbal, and visual communications skills required
Team-first orientation: must thrive in collaborative, team-based work environment.
Experience with staff development and training.
Passion for creating new products that drive significant value for our clients.
Intellectual curiosity and creativity: thrives in developing new ideas and identifying growth opportunities
Strong problem solving, conflict resolution and negotiation skills.
Strong stakeholder engagement skills and detail orientation.
About naviHealth
NaviHealth partners with health plans, health systems and post-acute providers to manage the entire continuum of post-acute care. We utilize evidence-based protocols to optimize care and bundled payment methodologies to align all stakeholders. The result: optimized care and outcomes, reduced inpatient days, reduced hospital readmissions, and increased patient satisfaction. NaviHealth ™ is proud to be an equal opportunity/affirmative action employer. We are committed to attracting, retaining and maximizing the performance of a diverse and inclusive workforce. 
Cardinal Health is an Equal Opportunity/Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or protected veteran status. ",0,"Health Care"
