"","title","company","location","desc","ind","jobtype","industry_clean","highest_edu","lon","lat"
"1","Data Science and Analytics Director","Capstone Search Group","Madison, WI","

We need your talents and passion. It’s more than just a job, it’s an opportunity. A great work environment and robust benefits program, with a Pension Plan AND 401k, enables employees to deliver a great customer experience.  
This position is responsible for oversight and strategic direction of advanced analytics, including predictive modeling, that drive business performance. Oversees research of new and innovative analytic tools and techniques. Monitors industry trends in analytics and investigates new concepts, ideas, and data sources.




Requirements: We are looking for a combination of someone who has led people, is strong technically, been exposed to different technologies (Machine Learning, Big Data, Hadoop, etc.) and has true data science (advanced predictive analytics and modeling).
Target skills…
Demonstrated communication skills, presence, polish, and awareness are what a Director would need.
Real deep in data science, techniques and technical expertise should be apparent.
We will be looking for text and sentiment analysis or random effects for advanced econometrics rather than general statements about analytics.
MS degree in Mathematics, Statistics, Economics, Engineering Actuarial Science or related field or equivalent designation, such as Fellowship of the Casualty Actuarial Society.
Deep data science and leadership experience, with the ability to lead strategy, architecture, development and integration of advanced analytics, driving business impact across the organization.

Capstone Search Group is a national search firm dedicated to the insurance industry. We are business partners to insurance organizations on staffing related projects. We work nationally with expertise that spans top executives, middle management and technical level positions. We are committed to providing recruiting services of the highest degree of confidentiality, professionalism and integrity.

",0,"data science","Finance","ms",-89.4012302,43.0730517
"2","Data Science Manager","Sinclair Broadcast Group, Inc.","Cockeysville, MD","
Make your mark in Broadcasting and Digital Media. Sinclair Broadcast Group and Sinclair Digital Solutions are dedicated to making Sinclair a communications powerhouse! We are the largest and most diversified television broadcasting company in the country. Sinclair owns and operates, programs or provides services to more television stations than anyone and has affiliations with all major networks. Sinclair Digital group is focused on bringing the most engaging content to web, mobile and over-the-top broadcasting to audiences all over the country!  Our success is the result of extraordinary employees and an exemplary management team who believe in a vision and are dedicated ensuring a great future for our employees.  Whether you are an industry veteran or a just starting out, you can find it at Sinclair!  We are advancing the world of Broadcasting and we want YOU to join our winning team!  

Sinclair Broadcast Group is currently looking for a Data Science Manager to join our fast-growing team. The ideal candidate will be intricately involved in the design, development and implementation of data-driven solutions using machine learning technologies and advanced statistical methods to address business problems. This position will be expected to perform data analyses, generate and test working hypothesis, prepare and analyze historical data, identify patterns as well as apply machine learning techniques to formulate a solution. We are seeking candidates from the Seattle, Washington or Baltimore, Maryland markets to fill this open position.

Responsibilities include:

Participating in business engagements focused on customer and consumer analytics
Understanding key business issues driving machine learning implementations
Developing specifications and requirements to extract data from current and third-party systems, as well as for interfacing client systems with analytic models
Assisting in research of new machine learning techniques, ideas, and applications; industry research given client situation; summarizes findings
Identifying short list of candidate software, hardware and vendor solutions that could meet requirements
Designing and implementing predictive model development, related algorithms and interfaces to analytics results
Guiding data science projects through from inception and planning to development, implementation and evaluation
Preparing communications and project deliverables 

Qualifications:  

Bachelor’s Degree or equivalent in statistics, applied mathematics, computer science, actuarial science or related field of study. Advanced degree (MA/PhD) in quantitative discipline: Statistics, Applied Mathematics, Operations Research, Computer Science or Engineering preferred.
Experience in machine learning packages and statistical programming languages such as WEKA, Matlab C, R, Python. Extensive knowledge of tools for data mining and statistics (SAS, SPSS)
Experience with Google Analytics and DoubleClick for Publishers preferred
Strong competency in various machine learning techniques (supervised learning, unsupervised learning, reinforcement learning). Strong knowledge of other quantitative disciplines (operations research, decision theory, etc.) preferred. Knowledge of machine to machine learning techniques
Proficient in manipulating and analyzing complex, high-volume, high-dimensionality data from varying sources. Ideally some of this data would come from embedded sensors, for use in applications such as predictive maintenance.
Ability to communicate complex quantitative analysis to peers in a concise and actionable manner
Ability to work independently and manage multiple task assignments while also having the ability to work in a team environment.
Strong oral and written communication skills, including presentation skills (MS Visio, MS PowerPoint)
Strong problem solving and troubleshooting skills with the ability to exercise mature judgment
Willingness to travel

Sinclair Broadcast Group, Inc. is proud to be an Equal Opportunity Employer and Drug Free Workplace!









",0,"data science","Business Services","phd",-76.6438598,39.4812172
"3","Analyst III, Data Science","Health Services Advisory Group, Inc.","Des Moines, IA","

Are you passionate about improving the quality of healthcare? 
Are you interested in exploring a rapidly expanding universe of clinical data? 
Are you ready to leverage your talents to make healthcare better for everyone? 
Are you fascinated by the growing field of data science?
Then join the new Data Science & Advanced Analytics team at Health Services Advisory Group (HSAG) that is transforming the delivery of healthcare in the United States!
HSAG has been a pioneer in the field of healthcare quality improvement for over three decades, serving approximately:
25 percent of the nation’s Medicare population
46 percent of the nation’s Medicaid population
20 percent of the nation’s dialysis population
HSAG is nationally recognized as an industry leader in the areas of data analysis, measure development, and patient satisfaction surveys. We are in search of talented individuals that are interested in a career in analytics as an Analyst 3 in HSAG’s Data Science & Advanced Analytics division. Together we can spread positive change to make healthcare better.  
UNIQUE BENEFITS
An Analyst 3 in DSAA also benefits from HSAG’s desire to grow its staff into the future leaders of healthcare quality improvement in the nation. New HSAG analysts are provided formal training in statistics, clinical epidemiology, SAS, healthcare data, and an assortment of healthcare-related topics. 
HSAG offers:
A comfortable work-life balance, including half-day Fridays and flexible work schedules.
Three weeks of paid time off and 13 company-paid holidays where staff leave two hours early prior to each holiday just to get a “jump start” on holiday festivities.
HSAG offers a competitive benefit package which includes, medical, dental, vision, tuition reimbursement, 401(k) and an employee stock ownership plan. 
DESCRIPTION
The Analyst 3 is a lead contributor to cutting edge analytic work that spans the broad spectrum of healthcare data projects at HSAG. Driven by intellectual curiosity and a passion for healthcare quality, the Analyst 3 leads the development and execution of innovative analytic plans that are intended to provide healthcare decision and policy makers with the necessary information to transform healthcare. The Analyst 3 will also lead a wide array of analytic studies and participate in all phases of the research design process. The Analyst 3 will have at his or her fingertips a wide array of data types to facilitate data exploration, including:
survey
case review
medical and prescription drug claims
eligibility
clinical
electronic health record
operational
Details regarding potential project assignments will be discussed with potential candidates during the interview process.  Beyond project assignment duties, the Analyst 3 will serve as a mentor to other analysts within the division and will work closely with the division’s leadership to fulfill HSAG’s analytic vision.
ESSENTIAL COMPETENCIES, DUTIES, AND RESPONSIBILITIES
Serve as a leader within HSAG Data Science & Advanced Analytics division.
Demonstrate expertise in utilizing the primary types of healthcare data and methods for approaching data assessments.
Evaluate a wide array of data types.
Conduct and interpret analyses, develop appropriate statistical models, manipulate complex databases, and track and evaluate patterns of care and outcomes.
Develop analytic methodologies and analysis plans.
Attend and participates in team training meetings, including presenting at these meetings.
Present and communicate project results to nonanalytic staff members and customers. 
Represent HSAG in a professional manner at all times.

",0,"data science","Health Care","bachelor",-93.6091064,41.6005448
"4","Data Science Intern","Advance Auto Parts","Raleigh, NC","
Major Responsibilities: Advance Auto Parts isn’t just your local auto parts store. We are the leading competitor in the auto parts industry. We are always looking for ways to better our strategies and broaden our horizons; which is why we are excited to take on a whole new team of interns. For this 10 week paid internship we are looking for interns to specialize in the following areas: Communications, Finance, Human Resources, Marketing, Merchandising, Retail Operations, Strategy, and Supply Chain. The week of welcome kicks off by pairing you with a mentor who will guide your experience as you work on a project tackling some of our top business initiatives.This isn’t a job shadow opportunity, this internship is the chance to get involved, contribute and truly experience our workplace. This will be a fun, teamwork atmosphere with the opportunity to build strong peer to peer relationships. The internship will end with the opportunity to present solutions to relevant business problems to some of our top executive staff members. No other company embodies diversity and community engagement like Advance Auto Parts does. But don’t take our work for it, apply and find out for yourself.  Schedule – 40 hours a week, Monday – Friday // May 21 – July 27SummaryAs a Data Science Intern, you will have an opportunity to disrupt a $100B auto parts industry to bring better and faster solutions to customers. You will have the opportunity to help analyze billions of transactions to find patterns that will help improve our company and build data products to extract valuable business insights.  You will be part of an elite data science function to help the organization live its mission of Advancing a World in Motion.General Job ResponsibilitiesCollect, analyze, and interpret information from multiple data sources identifying actionable insights Build predictive models and machine-learning algorithms for second-level analytics.Develop reports and/or presentations leveraging data visualization tools that clearly and concisely communicate analytical findings Analyze customer, transaction, and campaign data to identify trends and patterns in marketing campaign performance and/or customer behavior.Conduct digital channel analysis to understand traffic and revenue drivers, both in-store and on-line.Leverage analytical tools (SQL, SAS, Tableau) and data mining techniques to perform advanced data manipulation and extract insights from large databases.Support ad hoc analytic need as requested.Qualifications Junior or Senior Preferred Majors: Computer Science, Mathematics, Engineering or other relevant disciplines Some experience with a data science programming language (ex: R, SAS, SPSS, and/or Python) Some experience using data visualization tools (ex: Tableau, d3.js)

Qualifications:


We are an Equal Opportunity Employer and do not discriminate against any employee or applicant for employment because of race, color, sex, age national origin, religion, sexual orientation, gender identity, status as a veteran and basis of disability or any other federal, state or local protected class.
",0,"data science","Retail","bachelor",-78.6381787,35.7795897
"5","Director - Data Science","Grange Insurance","Columbus, OH","
Plan, facilitate, build, and manage advanced analytics from inception to successful completion. Involves the responsibility of supervising employees with various skills working
as a team. 
ESSENTIAL FUNCTIONS:

1. Provide the vision, roadmap, and thought leadership for Grange’s centralized data science team.

2. Manage a team of statisticians to translate corporate strategy into analytic projects that inform and drive business performance.

3. Collaborate with the Data Warehouse, Personal and Commercial Lines, Life, Claims, Sales and Marketing, Customer Experience, Research, Insights and Reporting, and other internal
client teams to support corporate initiatives with analytics. 
4. Design variables for new marts at the customer, household, and agency levels in close partnership with Data Warehouse, Research, and business unit teams.

5. Work with the Data Warehouse, IT, business units, and third-party companies to assess and incorporate demographic, firmographic, geographic, telematic, internet-of-things
(IOT), drone, wearables, sensor, social media, and other data sources for analytic benefit.

6. Create, document, test, deploy, audit, and manage statistical techniques and predictive models.

7. Build profile, segmentation, and impact-analysis automated tools for the Insights team. Perform market, portfolio, and customer/prospect segmentation to optimize strategies
and spend. 
8. Ensure all analytic activities comply with regulatory and company policies. Work with legal, compliance, and risk teams to develop and apply effective risk management controls.

9. Synthesize findings, analysis, and recommendations into senior level presentations that convey insights and recommendations through compelling, persuasive, and efficient
story-telling, while maintaining a balance between key insights and mastery of details.

10. Provide technical and business leadership, mentoring, and training on all applications.

11. Maintain employee files and attendance records.

12. Report project status (including schedule, cost and quality), risks and issues in a timely and accurate manner to all the stakeholders of projects.

13. Responsible for personnel actions of hiring, terminations and initiating promotions.

14. Establish objectives for each employee, monitor employee performance, conduct employee performance evaluations, and recommend salary adjustments.

15. Set priorities based upon company and department guidelines; motivate staff to achieve company, department and personal goals including professional development.

16. Interact and communicate effectively with all business contacts, including group presentations and meeting facilitation.

17. Update project management software to reflect assigned task status and effort.

18. Update the problem management and tracking system to reflect issue status.

19. Update Performance Objectives/Evaluation documents.

20. Assist in the development and control of the departmental budget.

21. Perform other duties as assigned.

There may be functions (essential or marginal) of this position not listed in this description.
Requirements1. Ph.D. in an applied quantitatively- or computationally-oriented field such as statistics, economics, applied mathematics, computer science, or operations research.

2. 8+ years of related work experience in similar or directly related functions, preferably in insurance or financial services.

3. Prior management experience strongly preferred.

4. Expert-level understanding of predictive models, structures, theories, principles and practices, including machine learning, statistics, and text mining techniques.

5. Thorough understanding of structured analysis, multivariate methods, behavioral segmentation, and financial analysis principles. Strong modeling skills including cluster
analysis, latent class, logistic regression, decision trees, and other non-linear algorithms, linear regression techniques (GLM), and forecasting/time series. Practical experience in the construction of designed experiments.

6. Must possess excellent interpersonal and communications skills, excellent problem solving skills, and the self-motivation to improve skills and abilities as generally acquired
through 8+ years of experience. 
7. Direct experience with large data sets, SAS or R, and relational database models such as Oracle, DB2, SQL Server, Teradata, and Netezza. Python is a plus.

8. Experience working with unstructured data in distributed ecosystems like Hadoop.

9. Ability to work independently under minimal supervision with considerable latitude for un-reviewed actions or decisions.

10. Competent to work at the highest technical level of all phases of application and programming activities.

11. Must demonstrate leadership, professionalism and a basic understanding of the insurance business.
",0,"data science","Business Services","ms",-82.9987942,39.9611755
"6","Data Science Intern","Progrexion Holdings Inc","Salt Lake City, UT","
Overview
Progrexion is a leading provider of credit report repair services in the United States. Progrexion’s technology and services help consumers access and understand information contained in their credit reports, verify whether that information is fair, accurate and substantiated, and correct inaccuracies with individual creditors, other data furnishers and the national credit bureaus. Progrexion technology and services are used by Lexington Law Firm and by CreditRepair.com, a Progrexion subsidiary.  Progrexion has been named by Utah Business Magazine as one of Utah’s fastest growing companies, a Top Places to Work in Idaho, and a Best Company to Watch in Arizona. For more information about Progrexion, visit www.progrexion.com.The Data Science Intern will rotate through different job functions to gain exposure to both the industry as well as gain valuable experience working with marketing systems to perform analysis and implement marketing processes.This is a paid internship for approximately 10-12 weeks with potential for a full-time entry-level position. Interns should be available to work 20-30 hours per week. 

Responsibilities

Create reports, analyses, graphs, tables, to present data in a meaningful way.
Identifying insights and reporting
Demonstrated ability in accessing data from a variety of sources/programs, digging to find trends, make recommendations on optimizing to improve numbers
Provide strategic analytical support to teams within the Marketing department to better understand data around user behavior and identify key trends
Use data analytics tools to inform our process and product decisions as well as create impactful and easily readable internal reports.

Qualifications

Individuals considered for this position should be actively pursuing, or be a recent graduate of a Bachelor’s Degree in Statistics, Economics, Marketing, Business Administration, Information Systems or a related field of study.
Work, internship, or other leadership experience in a professional environment
Interest in learning and developing marketing, analytical, and creative skills
Understanding of statistics and data interpretation skills
Strong analytical skills; ability to evaluate data, identify trends and effectively summarize information
Strong knowledge of Google Analytics and Adobe
Proficient in use of Microsoft Word, PowerPoint, and Excel; Pivot Tables are a must
Ability to break down and solve complex problems in a high-energy, fast paced environment
 The Expertise You’ll Develop in the Role:Ability to break down and solve complex problems
Develop high impact solutions
Translate massive data sets into actionable business results
Drive scalable solutions
Expand feature sets globally
",0,"data science","Information Technology","bachelor",-111.8910474,40.7607793
"7","Data Science Consultant","Health Care Service Corporation","Chicago, IL","
HCSC is committed to diversity in the workplace and to providing equal opportunity and affirmative action to employees and applicants.We are an Equal Opportunity Employment / Affirmative Action employer dedicated to workforce diversity and a drug-free and smoke-free workplace. Drug screening and background investigation are required, as allowed by law. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or protected veteran status.
If you are an individual with a disability or a disabled veteran and need an accommodation or assistance in either using the Careers website or completing the application process, you can email us to [Click Here to Email Your Resumé] to request reasonable accommodations.
Please note that only requests for accommodations in the application process will be returned. All applications, including resumes, must be submitted through HCSC's Career website on-line application process. If you have general questions regarding the status of an existing application, navigate to 'my account' and click on 'View your job submissions'.Job Purpose:
This position is responsible for using advanced mathematical and statistical concepts and theories to analyze and collect data and construct solutions to business problems; performing complex statistical analysis on experimental or business data to validate and quantify trends or patterns identified by business analysts; constructing predictive models, algorithms and probability engines to support data analysis or product functions; verifies model and algorithm effectiveness based on real-world results; and designing experiments and methodologies to generate and collect data for business use. Responsible for aiding tactical decision making by using predictive and prescriptive modeling; and extracting actionable insights by identifying patterns in structured and unstructured data.

Required Job Qualifications:
*Bachelor degree and 5 years of experience in advanced mathematical and statistical concepts OR Master degree with 4 years of experience in advanced mathematical and statistical concepts.
*2 years of experience in programmatic data analysis tools like SAS, R, MATLAB, SPSS etc.
*Proficiency in at least one high level programing languages like Java, Scala, Python, Ruby, C etc.
*Proficiency in data wrangling tools like SQL, Hive etc.
*Experience in data visualization tools like Tableau, QlikView, MicroStrategy etc.
*Experience in big data ecosystems (Hadoop, No-SQL etc.)
*Conceptual and creative problem-solving skills; experience working with considerable ambiguity
*Experience learning new and complex concepts quickly.
*Knowledge with Healthcare Payer industry data.
*Clear and concise interpersonal, verbal and written communication skills.
*PC proficiency with Microsoft applications including Access, Excel, Word and Power Point.

Preferred Job Qualifications:
*Master degree in Mathematics, Statistics, Operations Research, Computer Science.
*PhD.

LI-POST
*CA
*CB*

**Position is located in Chicago, IL
**Relocation assistance not available
**Sponsorship not available ",0,"data science","Business Services","phd",-87.6297982,41.8781136
"8","Data Science Manager","The Judge Group","Tampa, FL","
Qualifications:Bachelor’s degree in Statistics, or related Data Science field.  Masters degree preferred or the equivalent combination of education and experience.
5-8 years of experience in data science and/or advanced analytics strategic analysis, including:
3-5 years managing direct reports
3-5 years of experience using tools for statistical analysis and programming (e.g., SAS, R, Python,) and querying (e.g., SQL/HIVE/SPARK). 
3–5 years of experience utilizing statistical techniques that are commonly employed in advanced analytics, such as logistic regression, multiple linear regression, cluster analysis, principal component analysis, discriminant analysis, and decision trees (e.g., CHAID and CART). 
2-3 years of experience in experimental design & analysis and project management.
Knowledge and Skills:Good familiarity with advanced analytics theory and practice, including the concepts of segmentation and response modeling. 
Ability to successfully communicate with Executives, Mid-Level Manager, Marketing Strategists and Business leaders to identify business problems and opportunities, design and implement the best analytics solution and communicate the results of analytics projects.
Desktop computing skills and experience using one or more: word-processing, spreadsheet and presentation software programs
Strong knowledge of MS Office required.
",0,"data science","Business Services","ms",-82.4571776,27.950575
"9","Data Science Team Lead","Confidential","Boston, MA","
Indigo is a company dedicated to harnessing nature to help farmers sustainably feed the planet. With a vision of creating a world where farming is an economically desirable and accessible profession, Indigo works alongside its growers to apply natural approaches, grow healthy food for all, and conserve resources for future generations. Utilizing beneficial plant microbes to improve crop health and productivity, Indigo’s portfolio is focused on cotton, wheat, rice, corn, and soybeans. The company is headquartered in Boston, MA, with commercial and customer service based in Memphis, TN.  Indigo is looking to disrupt farming through data. Our goal is to collect data from the farm in order to generate actionable insights with machine learning.  The Data Science Engineering Team Lead will have a critical role in accomplishing our goals. They will architect and build scalable web systems that expose complex data models in easy to consume apis across tens of millions of acres of farming data. They will also be an important member of a highly efficient and cohesive engineering team that is focused on the customer’s needs and requirements. Outcomes: Partner w/ UI & API team to ensure seamless integration of deliverables into our software platform. Collaborate with Data Sciences to prioritize and flesh out backlog addressing highest priority Data Sciences production deliverables. Put crop models into production for actual on farm insight and making them available to the UI via api. Work with internal research teams and help build out internal DNA sequencing pipeline. Come up with guidelines/rules for both R and Python such that ""productizing"" project is as streamlined as possible. Competencies: History of mentoring team members Experience implementing complex algorithms at scale Ability to stand up services and ensure 99.9 uptime with great performance Able to integrate all product releases into product life cycle and software development process from day 1 Can work closely with Systems Architect to identify solutions that fit architecture Comfortable working with data science tooling (e.g. R and Python) Experience recruiting and leading an A-quality engineering team Knowledge of APIs/REST best practices Can work closely with Data Sciences and teams across all business verticals to understand problem space Demonstrated experience building high-quality, monitored software based on customer control metrics Qualifications: 5+ years of building scalable web  services using a modern web frameworks in a micro services architecture Required: Strong skills in R, Python, machine learning algos; including: Numpy, Scikit, Matplotlib Nice to have: Deep learning (Tensorflow, Theano, etc), Bayesian modeling (STAN, Jags), Spark Intimate knowledge of designing and integrating with REST or GraphQL APIs Demonstrable experience and knowledge of the differences between web and mobile application development and the tradeoffs of each Experience setting up monitoring solutions to track users and catch issues in Production Actively practicing lean / agile software methodologies or similar Experience working cross-functionally with Software Product Management, Architecture, User Experience and users to realize application development vision ",0,"data science","Manufacturing","ms",-71.0588801,42.3600825
"10","Manager of Data Science","NITS Solutions","Novi, MI","

Position Overview: 
The role of the Manager Data Science is to work as a senior member of the Data Science team with the primary responsibility of setting a strategic direction for data identification, collection and quantification activities. The ideal candidate would be passionate about the future of data analytics and would have a desire to help shape it.

Job Responsibilities:

Set a strategic direction for data identification, collection and quantification activities.
Use expert knowledge of data science, algorithms and predictive analytics to lead data analysis for multiple projects with diverse scope and complex business and technical challenges.
Keep at the fore-front of data science practices, tools, and techniques and implement Data Science best practices.
Develop statistical models to improve our business efficiency and present best offer to our clients.
Present reports and findings to senior level technical and non-technical audiences
Frequent meeting/communication with clients to interpret their needs, plan/organize, and discuss progress and results.
Lead, guide and mentor members of the Data Science Team.



Skills

Excellent skills in common open source data science tools & languages, such as python, SQL, R    
Advanced data mining and predictive modeling skills (e.g., regression, segmentation, machine learning, SEM, MCMC, Bayesian, boosting, cross-validation) 
Hands-on experience in Big Data tools and technologies, including: in-database analytical solutions, Hadoop (hdfs/Hive/Pig), Spark (mllib), Greenplum, other distributed systems
Impeccable attention to detail and very strong ability to convert complex data into insights and action plans
Excellent verbal and written communication
Strong Leadership skills


Qualifications
 
10+ years of experience in Data Analytics
Master degree or higher in computer science, statistics, or other quantitative field (PhD preferred, not required)
Experience in the automotive or consulting industries a plus.

",0,"data science","Manufacturing","phd",-83.4754913,42.48059
